Shipment_Number,Shipment_Quantity,Delivery_Time,Transportation_Cost
1,26,1.624345364,118.396065
2,74,2.100929867,122.9728348
3,13,2.438059164,107.2614127
4,84,2.669315537,112.5069807
5,42,2.133769443,119.7517364
6,80,1.153912474,144.3598846
7,21,2.045444058,136.8729388
8,15,2.193998486,152.5567516
9,37,2.647688538,97.07874804
10,75,2.500643054,147.9533938
11,95,3.761037734,71.20570359
12,23,1.9071052,153.2131083
13,67,1.503185526,104.979822
14,33,2.888557905,179.0616851
15,53,2.954587929,63.09049888
16,59,2.315318645,126.3071803
17,90,1.44625601,169.0919722
18,48,2.536582519,114.1177398
19,74,1.936213958,125.8704679
20,47,2.033697892,148.1742046
21,97,3.864436202,92.4530306
22,35,1.412912161,92.27597177
23,58,1.866231583,178.5919114
24,52,1.442257653,141.8909015
25,39,2.332454159,77.97593686
26,99,1.92909056,121.7216828
27,43,2.83532232,179.1977165
28,45,1.505420813,157.7331485
29,89,2.495640398,77.63359438
30,72,3.58571075,98.20919745
31,17,1.926422013,171.9262488
32,97,2.400878211,56.66749184
33,49,2.232277642,128.6713
34,42,1.721298223,143.9603707
35,13,1.333674327,76.89257192
36,44,1.745056271,167.1371968
37,47,2.74290611,68.90878155
38,49,2.517457482,107.4130143
39,74,1.294493159,179.1711447
40,21,3.282732767,79.21429586
41,35,1.649270169,104.972541
42,62,1.351407251,64.6635422
43,20,1.840704507,180.2417737
44,98,2.342386298,161.9507813
45,27,2.731102775,138.0801168
46,55,1.885433747,76.01253835
47,19,1.426019804,53.73216331
48,45,1.847619282,111.9183686
49,84,3.108547014,69.689496
50,81,3.310537224,69.90142967
51,150,1.885433747,76.01253835
